사용일자,분당선,합계
2020-12-04,7508,7508
2020-12-05,3995,3995
2020-12-06,2760,2760
2020-12-07,7047,7047
2020-12-08,7022,7022
2020-12-09,6939,6939
2020-12-10,7037,7037
2020-12-11,7079,7079
2020-12-12,3335,3335
2020-12-13,2118,2118
2020-12-14,6160,6160
2020-12-15,6270,6270
2020-12-16,6269,6269
2020-12-17,6292,6292
2020-12-18,6497,6497
2020-12-19,2918,2918
2020-12-20,2018,2018
2020-12-21,6355,6355
2020-12-22,6562,6562
2020-12-23,6737,6737
2020-12-24,6523,6523
2020-12-25,2441,2441
2020-12-26,2734,2734
2020-12-27,2113,2113
2020-12-28,6316,6316
2020-12-29,6455,6455
2020-12-30,6052,6052
2020-12-31,5369,5369
2021-01-01,1440,1440
2021-01-02,2457,2457
2021-01-03,1943,1943
2021-01-04,6732,6732
2021-01-05,6803,6803
2021-01-06,7214,7214
2021-01-07,7764,7764
2021-01-08,6917,6917
2021-01-09,3280,3280
2021-01-10,2215,2215
2021-01-11,6774,6774
2021-01-12,7591,7591
2021-01-13,7552,7552
2021-01-14,7372,7372
2021-01-15,7236,7236
2021-01-16,3727,3727
2021-01-17,2482,2482
2021-01-18,7703,7703
2021-01-19,7407,7407
2021-01-20,7832,7832
2021-01-21,7556,7556
2021-01-22,7832,7832
2021-01-23,4999,4999
2021-01-24,3796,3796
2021-01-25,8180,8180
2021-01-26,8014,8014
2021-01-27,8711,8711
2021-01-28,8052,8052
2021-01-29,7590,7590
2021-01-30,5125,5125
2021-01-31,3532,3532
2021-02-01,8060,8060
2021-02-02,8002,8002
2021-02-03,8452,8452
2021-02-04,8615,8615
2021-02-05,8474,8474
2021-02-06,5477,5477
2021-02-07,3764,3764
2021-02-08,8126,8126
2021-02-09,8461,8461
2021-02-10,7794,7794
2021-02-11,2594,2594
2021-02-12,1758,1758
2021-02-13,3839,3839
2021-02-14,3566,3566
2021-02-15,8372,8372
2021-02-16,8855,8855
2021-02-17,8463,8463
2021-02-18,8837,8837
2021-02-19,9208,9208
2021-02-20,6723,6723
2021-02-21,5367,5367
2021-02-22,9005,9005
2021-02-23,9040,9040
2021-02-24,9617,9617
2021-02-25,9393,9393
2021-02-26,10040,10040
2021-02-27,7064,7064
2021-02-28,5153,5153
2021-03-01,2576,2576
2021-03-02,9034,9034
2021-03-03,9566,9566
2021-03-04,9566,9566
2021-03-05,10195,10195
2021-03-06,6895,6895
2021-03-07,4934,4934
2021-03-08,9235,9235
2021-03-09,9630,9630
2021-03-10,9815,9815
2021-03-11,9712,9712
2021-03-12,9637,9637
2021-03-13,7314,7314
2021-03-14,5297,5297
2021-03-15,9345,9345
2021-03-16,9755,9755
2021-03-17,9886,9886
2021-03-18,9893,9893
2021-03-19,10395,10395
2021-03-20,5791,5791
2021-03-21,4707,4707
2021-03-22,9505,9505
2021-03-23,10004,10004
2021-03-24,10177,10177
2021-03-25,10413,10413
2021-03-26,10989,10989
2021-03-27,5566,5566
2021-03-28,4021,4021
2021-03-29,9558,9558
2021-03-30,10748,10748
2021-03-31,13192,13192
2021-04-01,15400,15400
2021-04-02,16617,16617
2021-04-03,5211,5211
2021-04-04,8422,8422
